onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
82.69	n/a	41345	seqLearning_start	91	n/a	n/a	8
88.946	n/a	44473	learningBlock_1	31	n/a	n/a	8
88.978	n/a	44489	dot_no1_ON	11	n/a	n/a	8
89.568	n/a	44784	dot_no1_OFF	21	n/a	n/a	8
90.886	n/a	45443	dot_no6_ON	16	n/a	n/a	8
91.466	n/a	45733	dot_no6_OFF	26	n/a	n/a	8
92.786	n/a	46393	dot_no4_ON	14	n/a	n/a	8
93.366	n/a	46683	dot_no4_OFF	24	n/a	n/a	8
94.686	n/a	47343	dot_no2_ON	12	n/a	n/a	8
95.266	n/a	47633	dot_no2_OFF	22	n/a	n/a	8
96.586	n/a	48293	dot_no7_ON	17	n/a	n/a	8
97.166	n/a	48583	dot_no7_OFF	27	n/a	n/a	8
98.486	n/a	49243	dot_no3_ON	13	n/a	n/a	8
99.066	n/a	49533	dot_no3_OFF	23	n/a	n/a	8
100.386	n/a	50193	dot_no8_ON	18	n/a	n/a	8
100.966	n/a	50483	dot_no8_OFF	28	n/a	n/a	8
102.286	n/a	51143	dot_no5_ON	15	n/a	n/a	8
102.876	n/a	51438	dot_no5_OFF	25	n/a	n/a	8
104.196	n/a	52098	dot_no2_ON	12	n/a	n/a	8
104.776	n/a	52388	dot_no2_OFF	22	n/a	n/a	8
106.096	n/a	53048	dot_no7_ON	17	n/a	n/a	8
106.686	n/a	53343	dot_no7_OFF	27	1-6-4-2-8-7-5-3-2-7	1-6-4-2-7-3-8-5-2-7	8
139.41	n/a	69705	learningBlock_2	32	n/a	n/a	8
139.418	n/a	69709	dot_no1_ON	11	n/a	n/a	8
140.008	n/a	70004	dot_no1_OFF	21	n/a	n/a	8
141.328	n/a	70664	dot_no6_ON	16	n/a	n/a	8
141.908	n/a	70954	dot_no6_OFF	26	n/a	n/a	8
143.228	n/a	71614	dot_no4_ON	14	n/a	n/a	8
143.808	n/a	71904	dot_no4_OFF	24	n/a	n/a	8
145.128	n/a	72564	dot_no2_ON	12	n/a	n/a	8
145.708	n/a	72854	dot_no2_OFF	22	n/a	n/a	8
147.028	n/a	73514	dot_no7_ON	17	n/a	n/a	8
147.608	n/a	73804	dot_no7_OFF	27	n/a	n/a	8
148.928	n/a	74464	dot_no3_ON	13	n/a	n/a	8
149.508	n/a	74754	dot_no3_OFF	23	n/a	n/a	8
150.828	n/a	75414	dot_no8_ON	18	n/a	n/a	8
151.418	n/a	75709	dot_no8_OFF	28	n/a	n/a	8
152.738	n/a	76369	dot_no5_ON	15	n/a	n/a	8
153.318	n/a	76659	dot_no5_OFF	25	n/a	n/a	8
154.638	n/a	77319	dot_no2_ON	12	n/a	n/a	8
155.218	n/a	77609	dot_no2_OFF	22	n/a	n/a	8
156.538	n/a	78269	dot_no7_ON	17	n/a	n/a	8
157.118	n/a	78559	dot_no7_OFF	27	1-6-3-2-8-7-7-7-7-7	1-6-4-2-7-3-8-5-2-7	8
181.24	n/a	90620	learningBlock_3	33	n/a	n/a	8
181.248	n/a	90624	dot_no1_ON	11	n/a	n/a	8
181.828	n/a	90914	dot_no1_OFF	21	n/a	n/a	8
183.148	n/a	91574	dot_no6_ON	16	n/a	n/a	8
183.738	n/a	91869	dot_no6_OFF	26	n/a	n/a	8
185.058	n/a	92529	dot_no4_ON	14	n/a	n/a	8
185.64	n/a	92820	dot_no4_OFF	24	n/a	n/a	8
186.958	n/a	93479	dot_no2_ON	12	n/a	n/a	8
187.548	n/a	93774	dot_no2_OFF	22	n/a	n/a	8
188.868	n/a	94434	dot_no7_ON	17	n/a	n/a	8
189.448	n/a	94724	dot_no7_OFF	27	n/a	n/a	8
190.768	n/a	95384	dot_no3_ON	13	n/a	n/a	8
191.348	n/a	95674	dot_no3_OFF	23	n/a	n/a	8
192.668	n/a	96334	dot_no8_ON	18	n/a	n/a	8
193.248	n/a	96624	dot_no8_OFF	28	n/a	n/a	8
194.568	n/a	97284	dot_no5_ON	15	n/a	n/a	8
195.148	n/a	97574	dot_no5_OFF	25	n/a	n/a	8
196.468	n/a	98234	dot_no2_ON	12	n/a	n/a	8
197.048	n/a	98524	dot_no2_OFF	22	n/a	n/a	8
198.368	n/a	99184	dot_no7_ON	17	n/a	n/a	8
198.948	n/a	99474	dot_no7_OFF	27	1-6-2-3-8-7-7-7-7-7	1-6-4-2-7-3-8-5-2-7	8
221.32	n/a	110660	learningBlock_4	34	n/a	n/a	8
221.33	n/a	110665	dot_no1_ON	11	n/a	n/a	8
221.91	n/a	110955	dot_no1_OFF	21	n/a	n/a	8
